lower,med,upper,param,tree,tiptypes,prop,multiplier
1.0019807308441546,1.6729439416287306,7.8851379406349835,ReMultiplier,tree0,no,0,1
0.0437939426557224,0.739284113406532,0.9987425800610977,SSFrac,tree0,no,0,1
1.4983225331521017,1.5652373608501007,1.644833346588538,Re,tree0,no,0,1
1.0418973778839187,2.366349158383888,11.203937935452204,ReMultiplier,tree10,no,0,1
0.013408222977133356,0.5994815740008221,0.9490427994115792,SSFrac,tree10,no,0,1
1.3805030729186691,1.4428188826573949,1.5177550359999885,Re,tree10,no,0,1
1.0019683511074011,1.8517056070775446,9.251396149820422,ReMultiplier,tree11,no,0,1
0.0301291012912142,0.6765489877788358,0.9982471671368613,SSFrac,tree11,no,0,1
1.4592773745199985,1.5352445862635602,1.6010501817438743,Re,tree11,no,0,1
1.0084490196953666,2.1931528006370153,10.755592138718931,ReMultiplier,tree12,no,0,1
0.05460832862472878,0.6814360772007786,0.9993727265539989,SSFrac,tree12,no,0,1
1.4387159538891914,1.5119606437848414,1.573297557279761,Re,tree12,no,0,1
1.0037602726564356,2.1486599965546542,10.826193136944264,ReMultiplier,tree13,no,0,1
0.04358104352679375,0.6808134367371963,0.9992688871405999,SSFrac,tree13,no,0,1
1.4196187112227852,1.4917462032056923,1.5651350081160937,Re,tree13,no,0,1
1.0012683920811574,2.9225345346202896,11.306875340610478,ReMultiplier,tree14,no,0,1
0.009414764784900637,0.44977912699618405,0.9127953550253639,SSFrac,tree14,no,0,1
1.401267501801004,1.4750988712908808,1.5530234930697944,Re,tree14,no,0,1
1.00420547933729,1.920266131741991,11.668648231571204,ReMultiplier,tree15,no,0,1
0.023399685682213397,0.7286922191918106,0.999752672183454,SSFrac,tree15,no,0,1
1.434811668991609,1.4999793641783838,1.5739516941912821,Re,tree15,no,0,1
1.001308840334931,2.2991720658944366,13.307398832944042,ReMultiplier,tree16,no,0,1
0.0321157814197605,0.7719915186907335,0.9870073155739147,SSFrac,tree16,no,0,1
1.4324564670319098,1.5092004861687842,1.5743147557652237,Re,tree16,no,0,1
1.0161009271922101,3.0532691984442892,9.665959673701312,ReMultiplier,tree17,no,0,1
0.05324754665573247,0.524442178064813,0.9495568088057195,SSFrac,tree17,no,0,1
1.4031615819582983,1.4735894352702579,1.5483827677962936,Re,tree17,no,0,1
1.0428110541951916,3.0981758805989177,13.070458101061208,ReMultiplier,tree18,no,0,1
0.003776696446206248,0.5928102525813962,0.9387559450354649,SSFrac,tree18,no,0,1
1.4329584875473744,1.5073353799856415,1.5783083118586727,Re,tree18,no,0,1
1.003012350077148,2.3464263367028666,8.1669475145172,ReMultiplier,tree19,no,0,1
0.00559202825064673,0.4697187145759967,0.9690061167603247,SSFrac,tree19,no,0,1
1.4351310961122443,1.5072469573552962,1.5788110304383698,Re,tree19,no,0,1
1.000485699462793,3.8218932646610297,12.31460504025172,ReMultiplier,tree1,no,0,1
0.09461264726506373,0.4945534305194764,0.9298264287384588,SSFrac,tree1,no,0,1
1.4334845700127141,1.5114644777931432,1.592256692783144,Re,tree1,no,0,1
1.0040197008857144,1.8899321136060223,8.404949056867727,ReMultiplier,tree20,no,0,1
0.020521679350246538,0.7440920687964315,0.9981715203004018,SSFrac,tree20,no,0,1
1.4671010139427636,1.5361145915708831,1.6159437043770748,Re,tree20,no,0,1
1.0033692403561254,1.8896343702462417,11.68450929485373,ReMultiplier,tree21,no,0,1
0.029106512805285475,0.7258445774748583,0.9959830251171172,SSFrac,tree21,no,0,1
1.4481732433192607,1.5218506025728225,1.5977378117408745,Re,tree21,no,0,1
1.000444764723562,4.511222098836486,15.261127181368325,ReMultiplier,tree22,no,0,1
0.0017597834522411714,0.3795092031337204,0.9271870325623155,SSFrac,tree22,no,0,1
0.23310196324727833,1.075176224269088,2.267368199649168,Re,tree22,no,0,1
1.0005913270902145,3.8027658644235487,15.226414205958381,ReMultiplier,tree23,no,0,1
0.008464411827865151,0.43267967394798157,0.9502276608473457,SSFrac,tree23,no,0,1
0.18193393152139242,1.4778927890413613,2.7764838378417362,Re,tree23,no,0,1
1.0059204511507231,1.948817676184454,10.974635262655417,ReMultiplier,tree24,no,0,1
8.309387864649794e-4,0.7004883812292948,0.974935938630705,SSFrac,tree24,no,0,1
1.4151753396159257,1.4843707153367158,1.5490034562816677,Re,tree24,no,0,1
1.0058029643702855,2.076436021453895,11.343435200187498,ReMultiplier,tree25,no,0,1
0.013869024293184162,0.66987528552235,0.9864892361355099,SSFrac,tree25,no,0,1
1.4580862411443702,1.5356172985417205,1.6179429319515204,Re,tree25,no,0,1
1.003959915400904,2.361952251422749,10.046690884415737,ReMultiplier,tree26,no,0,1
0.001822795893441048,0.586987749388263,0.9581177108577367,SSFrac,tree26,no,0,1
1.449774453291112,1.5183380412375427,1.5975286294151325,Re,tree26,no,0,1
1.035666274000915,3.5636060406171466,16.419224733333696,ReMultiplier,tree27,no,0,1
0.05387396408818809,0.6140985411666828,0.9599622803482628,SSFrac,tree27,no,0,1
1.4693614785461653,1.547736824750149,1.615400409272915,Re,tree27,no,0,1
1.0012995485605694,1.6451686132289312,9.425632916536955,ReMultiplier,tree28,no,0,1
0.03205073324256819,0.6577072994129765,0.9999722887384855,SSFrac,tree28,no,0,1
1.4328688657677475,1.5097511894350861,1.5832741196034417,Re,tree28,no,0,1
1.0231121075621759,2.5958556472027903,11.105538237639973,ReMultiplier,tree29,no,0,1
0.006738948481634573,0.5810381998814287,0.9646407621359513,SSFrac,tree29,no,0,1
1.4062274217629245,1.4799653614237451,1.5510011051439105,Re,tree29,no,0,1
1.0002457379397174,2.4364267432465865,10.565111537138959,ReMultiplier,tree2,no,0,1
9.430063711584123e-4,0.6962207773587481,0.9769280130352014,SSFrac,tree2,no,0,1
1.4593011092117858,1.5230454204697037,1.5909865341714784,Re,tree2,no,0,1
1.0006163197800857,3.0253393196062954,12.80071192257652,ReMultiplier,tree30,no,0,1
0.13660726327541958,0.6814917171078384,0.9988826409741677,SSFrac,tree30,no,0,1
1.401252939198945,1.4891986900548562,1.5515834816417955,Re,tree30,no,0,1
1.04247316708851,4.48285749450464,17.782763068909592,ReMultiplier,tree31,no,0,1
0.11520736151408273,0.594675584680833,0.9620212445789836,SSFrac,tree31,no,0,1
1.3846407681299107,1.4577955649148917,1.5345349069731882,Re,tree31,no,0,1
1.0104934729044603,1.9239750761099117,11.151974807697703,ReMultiplier,tree32,no,0,1
0.038357718452530117,0.6980164880542183,0.9985008334969471,SSFrac,tree32,no,0,1
1.4013408480973197,1.4771763292316424,1.5486262091691245,Re,tree32,no,0,1
1.0124150888064034,2.8572985640516566,8.469189873504126,ReMultiplier,tree33,no,0,1
0.00873042161010744,0.42495709157461803,0.9514210294662011,SSFrac,tree33,no,0,1
1.4893608739013298,1.5778844166606234,1.6547413143140757,Re,tree33,no,0,1
1.002415361107838,1.791101345626657,10.664508687871084,ReMultiplier,tree34,no,0,1
0.02207643631647965,0.7368026319280878,0.9993284055678914,SSFrac,tree34,no,0,1
1.3992916018571362,1.4652071976213399,1.5416392721468566,Re,tree34,no,0,1
1.0065463647959623,4.231603993701986,15.675585709267018,ReMultiplier,tree35,no,0,1
0.0044637910365737995,0.43091917293526405,0.9269938919821125,SSFrac,tree35,no,0,1
0.22725438221250052,1.492921220815379,3.454925184035553,Re,tree35,no,0,1
1.0021955978408936,1.7821416026693098,8.803112083101862,ReMultiplier,tree36,no,0,1
0.03217282562810854,0.7197949018650465,0.9982899605977487,SSFrac,tree36,no,0,1
1.4219675642216554,1.4833156659340159,1.5418686120113763,Re,tree36,no,0,1
1.00574401383708,1.5717231845846968,8.764713027504808,ReMultiplier,tree37,no,0,1
0.005356574719372017,0.7007728620722911,0.9862852167122792,SSFrac,tree37,no,0,1
1.434539625895495,1.5119001462569708,1.5745430689503164,Re,tree37,no,0,1
1.0018130584886449,2.268076089028188,9.001214155668976,ReMultiplier,tree38,no,0,1
5.870559574578273e-4,0.5598123393045581,0.9676047207382434,SSFrac,tree38,no,0,1
1.4173176436104995,1.4811882900217705,1.5561724521472338,Re,tree38,no,0,1
1.0010578581120575,4.244483477285403,15.764817629615962,ReMultiplier,tree39,no,0,1
4.336154170019578e-4,0.44270230480971584,0.9452992146364261,SSFrac,tree39,no,0,1
