lower,med,upper,param,tree,tiptypes,prop,multiplier
8.367396213137635,10.674349114698671,13.828132256048955,ReMultiplier,tree0.log,yes,0.05,10
0.041829029090569465,0.05673048242465803,0.07078009426939316,SSFrac,tree0.log,yes,0.05,10
1.4359327313869936,1.5357746506098515,1.6484769220787319,Re,tree0.log,yes,0.05,10
7.791491005052429,10.752906135175483,13.701410291493588,ReMultiplier,tree0,no,0.05,10
0.038237619006612274,0.05887181432014307,0.08287288036328766,SSFrac,tree0,no,0.05,10
1.4404059728231768,1.5444961158398218,1.6474184521500383,Re,tree0,no,0.05,10
8.017971807400983,11.440132277901414,15.493865561703416,ReMultiplier,tree10.log,yes,0.05,10
0.04550244194327423,0.06106746424186174,0.07800756468591842,SSFrac,tree10.log,yes,0.05,10
1.432608856832195,1.5455699152870421,1.6492248854329707,Re,tree10.log,yes,0.05,10
7.729686365529465,10.777973924188917,15.026510382824636,ReMultiplier,tree10,no,0.05,10
0.054017320613097435,0.08220756130880238,0.11923268912088383,SSFrac,tree10,no,0.05,10
1.4483734699773356,1.5610484617655298,1.6854921085963952,Re,tree10,no,0.05,10
8.942511311846955,11.430040134002024,13.710204210926713,ReMultiplier,tree11.log,yes,0.05,10
0.03154964012362422,0.040311924768418925,0.053629142928248504,SSFrac,tree11.log,yes,0.05,10
1.3687136461194984,1.4706532719153147,1.5901832925040391,Re,tree11.log,yes,0.05,10
7.837984016990481,10.088556599101274,12.707202707985012,ReMultiplier,tree11,no,0.05,10
0.023664006019977108,0.040590489563476585,0.06429259265450218,SSFrac,tree11,no,0.05,10
1.359667655547173,1.4578603689358733,1.5554530987366928,Re,tree11,no,0.05,10
7.155401888688867,9.356279045835262,11.746092342173409,ReMultiplier,tree12.log,yes,0.05,10
0.03078528101440336,0.041958814955065656,0.05657371541417129,SSFrac,tree12.log,yes,0.05,10
1.3405560915347183,1.4243644407843474,1.5169860497400716,Re,tree12.log,yes,0.05,10
6.789382433151842,8.88466202672737,11.48817964221281,ReMultiplier,tree12,no,0.05,10
0.03237005583766051,0.05588613338547753,0.0851499594017671,SSFrac,tree12,no,0.05,10
1.333255899878281,1.4340494829811719,1.5265494054164723,Re,tree12,no,0.05,10
7.154594061463352,8.936649086288899,11.391262822502938,ReMultiplier,tree13.log,yes,0.05,10
0.03713131583028402,0.05125337488013809,0.06808105442438687,SSFrac,tree13.log,yes,0.05,10
1.4005052199935555,1.5015092572981064,1.6002378177710512,Re,tree13.log,yes,0.05,10
6.96538867690298,8.885423872739878,11.043038471934464,ReMultiplier,tree13,no,0.05,10
0.024891767732595254,0.04918249955922837,0.08231332506478427,SSFrac,tree13,no,0.05,10
1.4056054548205703,1.4995945394358663,1.6055442726681337,Re,tree13,no,0.05,10
8.136107666574416,10.239636142356048,13.017443247020749,ReMultiplier,tree14.log,yes,0.05,10
0.0345414360358687,0.04706827721214999,0.0605185096793436,SSFrac,tree14.log,yes,0.05,10
1.3345957341196648,1.4329206028349144,1.5289668699137908,Re,tree14.log,yes,0.05,10
8.56814846096518,10.871499789012915,13.681650864878746,ReMultiplier,tree14,no,0.05,10
0.02516833401671662,0.040853186659183555,0.06066800900603063,SSFrac,tree14,no,0.05,10
1.3313089087162984,1.4246382315586645,1.5350186744487897,Re,tree14,no,0.05,10
6.975369011999304,9.013855708450247,11.688161919132767,ReMultiplier,tree15.log,yes,0.05,10
0.03504801260725962,0.04788666975622842,0.06378837021336481,SSFrac,tree15.log,yes,0.05,10
1.4494745175402561,1.554504907970856,1.6706984280133803,Re,tree15.log,yes,0.05,10
6.6601587899717725,8.969827283083035,11.190443688765006,ReMultiplier,tree15,no,0.05,10
0.03310044718445505,0.05914395654511596,0.09403371238737938,SSFrac,tree15,no,0.05,10
1.4549094596247698,1.563131248745123,1.665594659460049,Re,tree15,no,0.05,10
7.809355678173857,10.75423714731274,13.697480924483473,ReMultiplier,tree16.log,yes,0.05,10
0.042886044465800195,0.05963582661922845,0.07637319169979924,SSFrac,tree16.log,yes,0.05,10
1.3579185655555075,1.4685474311259916,1.5675536023818106,Re,tree16.log,yes,0.05,10
8.229973198605148,11.012257636161573,14.583295384823998,ReMultiplier,tree16,no,0.05,10
0.03760647380155509,0.06195785439718721,0.08844337116188847,SSFrac,tree16,no,0.05,10
1.3448286905331681,1.4570735910452082,1.5719645619258626,Re,tree16,no,0.05,10
7.4309734276232975,9.24008715903727,11.492320421302596,ReMultiplier,tree17.log,yes,0.05,10
0.037934769345151886,0.05433096659166558,0.06753534269011201,SSFrac,tree17.log,yes,0.05,10
1.3966480335282647,1.5045727421579609,1.603659204618584,Re,tree17.log,yes,0.05,10
8.525440069124564,10.355281149857777,13.233040668073189,ReMultiplier,tree17,no,0.05,10
0.024815481896540856,0.038005238176557515,0.05785992144403753,SSFrac,tree17,no,0.05,10
1.3997166141645199,1.49603856311678,1.6009814363514001,Re,tree17,no,0.05,10
6.762576783056823,8.475991097735085,10.690546521748677,ReMultiplier,tree18.log,yes,0.05,10
0.03874907281627255,0.052595050878784994,0.06700395779596932,SSFrac,tree18.log,yes,0.05,10
1.3842246772153879,1.4664046605082182,1.5683674872782647,Re,tree18.log,yes,0.05,10
6.817348546462058,9.09731792801063,11.572587850342803,ReMultiplier,tree18,no,0.05,10
0.02228363929653245,0.03949691443411324,0.06704704685603614,SSFrac,tree18,no,0.05,10
1.368358067568464,1.4611324004740416,1.5565830077768268,Re,tree18,no,0.05,10
7.886954499329883,9.885532771637852,12.25885569806683,ReMultiplier,tree19.log,yes,0.05,10
0.04072095142700169,0.05477861983366031,0.07163114290727662,SSFrac,tree19.log,yes,0.05,10
1.3784696187712382,1.4683311268226036,1.5465472695772384,Re,tree19.log,yes,0.05,10
7.334302587693287,9.625209031482978,12.439382451269577,ReMultiplier,tree19,no,0.05,10
0.03928040682743561,0.06501793310738614,0.09887577795865289,SSFrac,tree19,no,0.05,10
1.3530817289859283,1.4685480325867113,1.5533841313306653,Re,tree19,no,0.05,10
7.176750775742306,9.602921033276788,11.710444055148502,ReMultiplier,tree1.log,yes,0.05,10
0.030552316316025296,0.0436110393930432,0.05767740814869754,SSFrac,tree1.log,yes,0.05,10
1.3237057994307329,1.4186877183143711,1.5228965190382424,Re,tree1.log,yes,0.05,10
7.432561472610533,9.73750449636227,11.920708672871253,ReMultiplier,tree1,no,0.05,10
0.023192041132799934,0.041178192770100666,0.06123875203042358,SSFrac,tree1,no,0.05,10
1.3185259126563997,1.4232873819168066,1.5270515267877272,Re,tree1,no,0.05,10
6.893216165563117,8.377172029662125,10.585359560108154,ReMultiplier,tree20.log,yes,0.05,10
0.038316815921742166,0.051832421341291575,0.06830676365364403,SSFrac,tree20.log,yes,0.05,10
1.3241838993210366,1.4202533674687217,1.5106501801645147,Re,tree20.log,yes,0.05,10
6.4847573034179815,8.487662097646329,10.900336872145362,ReMultiplier,tree20,no,0.05,10
0.029448877193593535,0.054855263514388866,0.08939375234558387,SSFrac,tree20,no,0.05,10
1.2971767424022633,1.4092525254185961,1.4996012063013024,Re,tree20,no,0.05,10
8.3184435457651,11.241012605458788,15.009902643247665,ReMultiplier,tree21.log,yes,0.05,10
0.047477073501770974,0.06426469588642215,0.08093207205766616,SSFrac,tree21.log,yes,0.05,10
1.523564444030247,1.6284927641732008,1.7392922824676416,Re,tree21.log,yes,0.05,10
7.987105894355166,10.790370642319084,14.522519103383392,ReMultiplier,tree21,no,0.05,10
0.036263590665373636,0.0636973025049718,0.09153031360921586,SSFrac,tree21,no,0.05,10
1.5169550977493687,1.6218617606939274,1.7405490050132502,Re,tree21,no,0.05,10
7.812058451460695,10.662882666192631,13.115242645187775,ReMultiplier,tree22.log,yes,0.05,10
0.04049384065685179,0.05383086805157828,0.06719739523294241,SSFrac,tree22.log,yes,0.05,10
1.435329047548374,1.5539362130509797,1.6607853231100023,Re,tree22.log,yes,0.05,10
8.414409080018523,10.40720837004152,13.72805986576726,ReMultiplier,tree22,no,0.05,10
0.032724726003554354,0.05463876538502566,0.07804856696100972,SSFrac,tree22,no,0.05,10
1.449003530117234,1.552611373683866,1.6652628424371254,Re,tree22,no,0.05,10
6.951393458550964,10.316304573579835,15.116915022976752,ReMultiplier,tree23.log,yes,0.05,10
0.05219869015932587,0.0701822135447476,0.08774144361025617,SSFrac,tree23.log,yes,0.05,10
1.4410901573786672,1.5538651309606673,1.6535020353117258,Re,tree23.log,yes,0.05,10
6.39004969977049,9.822026738399412,15.405663839408028,ReMultiplier,tree23,no,0.05,10
0.05565417472769664,0.09171784986730053,0.13555248537548303,SSFrac,tree23,no,0.05,10
1.4625497844398612,1.5630791989238462,1.6915049065033667,Re,tree23,no,0.05,10
7.332015440092831,10.03117571621713,12.813245762358415,ReMultiplier,tree24.log,yes,0.05,10
0.03966933287604797,0.057094539299324704,0.07293049867955964,SSFrac,tree24.log,yes,0.05,10
1.3334097470055677,1.4326795658871543,1.5398301269810184,Re,tree24.log,yes,0.05,10
7.393333879754793,9.994832576508678,13.019539475130008,ReMultiplier,tree24,no,0.05,10
0.0405248560161133,0.06888115313471853,0.10084722953692592,SSFrac,tree24,no,0.05,10
1.3320642632191013,1.4402139237971243,1.5411890099249739,Re,tree24,no,0.05,10
8.476872538793797,10.881423450550837,13.975714278721682,ReMultiplier,tree25.log,yes,0.05,10
0.044367426716736026,0.05852600998312013,0.07349219002952292,SSFrac,tree25.log,yes,0.05,10
1.3910495209609526,1.4958739394234783,1.6101869170900613,Re,tree25.log,yes,0.05,10
8.031781925804868,10.80975954999402,13.70950225897625,ReMultiplier,tree25,no,0.05,10
