cluster, date
1003, 2021.4
1067, 2021.4849315068493
1094, 2021.4328767123288
1177, 2021.4876712328767
146, 2021.4794520547946
15, 2021.2356164383561
180, 2021.4739726027397
230, 2021.3342465753424
26, 2021.4520547945206
33, 2021.372602739726
502, 2021.468493150685
557, 2021.454794520548
560, 2020.8415300546449
818, 2021.4219178082192
844, 2021.3534246575343
879, 2021.4794520547946
898, 2021.482191780822
980, 2021.4630136986302
